n,A225114,connected_A006958
283,45595992281754974216368111744704541708230666705220673129612158315025774766841082256537248000298212312312503694259850305473268570247769589126,2136825437887682505788686917771330749963611938910678917551408994077836431369632143125405381145378792548
284,142667273176698661999256890613479476805550029208925052524023848811602101136521811166317766284454044908627954377227701852364069966483111052853,4934226085836781621947197761580846158194906856902964784259655588324428180067177615358797012195452861902
285,446397804217089074718641098639279738422937221974996393449611136214770593664846213447518216908804753065285100634688609530811259974734160546734,11393811883023778865570328515738421159800701602702326208124581559805395389132578565357842003785156565820
286,1396753405127706693263440338510921458018813910759783566625933419502870022186878073673358921533142608779915560812328768107955461776799721324712,26309890744237804109655552378560995199869633597148221061707954122600924032065100310560804672619489280048
287,4370362166448035804922442849665160621765147863281381825649194216553996748406663165378425488304547545900301144766553099555924949338046185903032,60753184103828286105933223242560138954782640786619428386526316238671080854195317734173484011851455907595
288,13674615286994076895013427885918040555188095559063311906086453982488084736844460820058902153616771073894412623238750496760549845017954100967814,140287522081862621736041870422548451295580612864722940151123671393632248259157869772694907113409713965678
289,42787095468399208461967684655331559860640725902580942714864158986950606893890823552753432335213424856728611179477505067783272230451682790521106,323943331401932972061805916176250173705588171066038016454980474302637493802645967769262759512202210002582
290,133878394397180605374737305176520335304391120337781611702844332557335336625852757422771817419952513184211742359316723934273088954181451444660584,748030048592253784790012297284190113288279036826254965130094705166034062194474699046091198683391878098723
291,418897901111435445706506937855933861504314887836376144474365901728768796030011833780368673774097125497346876842513731264368564259062930701975382,1727305054175258525072193394450487090374902374337009965838196923802110963623744881827311048038257001914993
292,1310707768387020273801615902894009335461946020808335302036222402831296737711300389252091702857955898155099269627307049852295659825804935611741029,3988586763050910465401572453190437417927263677616699774101529869224091185205225691809713119682223479128317
293,4101130250478556361345429696928580518851026503127971503301853426860407369020740911617262047106260703722557732392476244371951087870893008048764242,9210199627408010689164788089951704803795488097801874873794865259461327853953034311147880532594683546854426
294,12832203895524622674542857666251264347157935715704770907112738933724094780926858155832921290686657817059032375591812027928333525266155547405544229,21267627411925980488932683551622014352726797152800791053027691493939825519053620866411063265693985397918478
295,40151238014716228754935712434373023578304590002596765482265562640225866105709880022241777022284611276072614742439603359645263509473281804777213583,49109899245451828808971718746805519964590644163221034619171897803513355599640313597377594867001576025638739
