n,A289587,no_upper_bonds,no_upper_bonds_no_fixed_points,indecomposable_nontrivial_core
124,44442375465438511442787085245559235647228886521178205046801551982,65148744267720608579157831121187750340837834601217763483058753498,25341916439350954675929156986743902277836628423007416298189265796,14464911389018699227299517147699945785164577755202930886680221907
125,155735387341974064111096469651838015516244994217777692272135571546,228292824694409261428172691498304483252461477169530331065437069674,88804495907853676038157188762408339348394110161757749234529269041,50683832878701909351858313973487804555673256846014832596378531591
126,545781236716447406715169396854203285965016577027035114450149760743,800054893241189756600192132333681347991932195828735132451548573800,311222950712741202261938877404432334647571987752609816991245017859,177608991815707352076314377524816678696788220323515498469058538083
127,1912892200893960687463165239180059539487583572117256656225916256587,2804064318591653405196422885664835094841108141747737438756741819934,1090809208583085500336272565427985212772982083121258902387125892108,622445901425482404523877754808864669295143975505219633982490035717
128,6705055237619910740885399242682257663035578189049141153809869174949,9828702339432553769175096636976154429901858245558445332204049373998,3823541961133191384251275753060092002177947039657963763714898794891,2181618417166171000672545130855970425545964166242517804774251784217
129,23504638317120004805845261905995709077057038721605939452522801643841,34454329319086908549748332150538509508704238439248649855232278770460,13403622698410262890622890322209162752174172179966361163901240590339,7647083922266382768502551506120184004355894079315927527429797589781
130,82403096212022216287952221530447922815828602407424466602194460345620,120789787800220483348065273650272564186163327238980084011944762668902,46991271201699978783409746502927119340907491439523680842071140744112,26807245396820525781245780644418325504348344359932722327802481180679
131,288916031901845138545982669103206664511267432107573131902344834697002,423501394083949659473618265292830515480135275980654316107356712004454,164759425840274850953399386143488138399160146550803477211607215258115,93982542403399957566819493005854238681814982879047361684142281488223
132,1013065041675291783301400438418534606622751687061207149261897719911373,1484968016181349442003038464169052764085873635864286618042133025304272,577724582250399870048119845941038243643776671381339831809459297394021,329518851680549701906798772286976276798320293101606954423214430516231
133,3552548609654528777030170646107799767952026392517380757398371863752617,5207345808212377686409002060684736082308561779895795114993342238187882,2025948321855788973156381184401329797510504218566557725687211821699920,1155449164500799740096239691882076487287553342762679663618918594788041
134,12458885351671337313172064258458176718232381899071673602401955171899081,18262164464459836242695725062925503422469354316442435624277847420339690,7105133910374129148191481347061421913724172939654660086451711888469925,4051896643711577946312762368802659595021008437133115451374423643399841
135,43697266527125402635544474338179109498594196137597191379167837761027951,64050725076659621751929155543166932539129537316974568043032633511476196,24920228627955681727773096424522044355840595718832623935064604867268173,14210267820748258296382962694122843827448345879309320172903423776939849
